nan nan nan nan nan nan nan nan nan nan nan nan 1.719999999999999929e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.500000000000000000e+01 nan 3.200000000000000000e+01 nan 3.829999999999999716e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan nan 2.780000000000000071e+01 2.960000000000000142e+01 nan nan nan nan nan nan nan 3.160000000000000142e+01 nan 2.939999999999999503e+01 3.229999999999999716e+01 nan nan nan 3.150000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.550000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan nan nan 2.550000000000000000e+01 3.019999999999999929e+01 3.329999999999999716e+01 nan nan nan nan nan nan nan nan nan nan 2.685000000000000142e+01 2.826666666666666572e+01 2.393333333333333712e+01 nan 3.050000000000000000e+01 nan nan 1.440000000000000036e+01 nan nan nan nan 3.507300000000000182e+03 nan nan nan nan nan nan nan nan 5.820000000000000000e+02 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan 2.100000000000000000e+01 2.529999999999999716e+01 nan nan 3.479999999999999716e+01 2.856000000000000227e+01 nan nan nan nan nan 3.600000000000000089e+00 nan nan nan 3.270000000000000284e+01 2.639999999999999858e+01 2.639999999999999858e+01 3.370000000000000284e+01 4.570000000000000284e+01 3.510000000000000142e+01 3.489999999999999858e+01 3.839999999999999858e+01 nan 6.870000000000000284e+01 nan nan 1.390000000000000036e+01 nan nan nan nan nan nan nan nan 1.805000000000000000e+02 nan nan 7.590000000000000568e+01 nan 5.379999999999999716e+01 4.820000000000000284e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan 1.109999999999999964e+01 1.209999999999999964e+01 2.239999999999999858e+01 3.019999999999999929e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.800000000000000000e+02 nan nan nan 2.580000000000000000e+02 nan 1.070000000000000000e+02 nan nan nan nan nan 1.969999999999999929e+01 2.900000000000000000e+01 nan nan nan nan nan nan nan nan 4.039999999999999858e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan 1.140000000000000036e+01 nan nan nan 2.400000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 4.660000000000000142e+01 4.985000000000000142e+01 nan nan 4.520000000000000284e+01 nan nan nan 9.200000000000000000e+01 nan nan 3.660000000000000142e+01 nan 2.989999999999999858e+01 nan nan nan nan nan nan 5.589999999999999858e+01 nan nan nan 1.580000000000000071e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan nan nan 3.195000000000000284e+01 2.569999999999999929e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 2.789999999999999858e+01 6.210000000000000000e+02 nan nan nan 7.325000000000000000e+01 3.950000000000000000e+01 2.653333333333333144e+01 nan nan 3.410000000000000142e+01 nan 3.370000000000000284e+01 nan 3.729999999999999716e+01 nan nan nan nan nan nan nan nan nan 7.200000000000000000e+01 7.500000000000000000e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
2.745714285714285552e+01 nan nan nan nan nan nan 1.564999999999999858e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.810000000000000142e+01 2.369999999999999929e+01 nan 2.189999999999999858e+01 nan 2.969999999999999929e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.330000000000000071e+01 nan 4.610000000000000142e+01 nan 6.039999999999999858e+01 5.929999999999999716e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
nan nan nan 7.700000000000000178e+00 nan nan nan nan 2.180000000000000071e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 5.500000000000000000e+00 nan 1.209999999999999964e+01 nan nan 1.430000000000000071e+01 nan nan nan nan nan 4.145000000000000284e+01 nan nan nan nan 4.189999999999999858e+01 nan nan 3.229999999999999716e+01 nan nan 1.789999999999999858e+01 nan nan nan nan 4.650000000000000000e+01 4.960000000000000142e+01 nan 3.993333333333333002e+01 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
